id_X,region,x,y
3-8-12-1990,10,0.947789399,2.149433913
3-8-12-1990,10,2.361796953,1.406096988
3-8-12-1990,10,0.947789399,2.014903021
3-8-12-1990,10,2.361796953,1.547562509
5-4-3-1987,10,-0.693147181,3.485333239
5-4-3-1987,10,0,3.354731015
5-4-3-1987,10,0.693147181,2.567108563
5-4-3-1987,10,1.386294361,2.531718668
5-4-3-1987,10,1.609437912,2.85816991
5-4-3-1987,10,1.791759469,2.441268193
5-4-3-1987,10,2.079441542,2.220116111
5-4-3-1987,10,2.302585093,2.287055125
5-7-18-1987,10,-0.693147181,6.541871925
5-7-18-1987,10,0.693147181,4.579601064
5-7-18-1987,10,1.098612289,3.021190447
5-7-18-1987,10,1.791759469,2.383012342
5-9-29-1987,10,-0.693147181,5.08485307
5-9-29-1987,10,0,3.391150413
5-9-29-1987,10,0.693147181,3.378276698
5-9-29-1987,10,1.386294361,3.305189292
5-9-29-1987,10,1.609437912,2.902596728
5-9-29-1987,10,1.791759469,2.196524332
5-9-29-1987,10,2.079441542,2.101924397
5-5-8-1988,10,-0.693147181,5.178686625
5-5-8-1988,10,0,5.005975119
5-5-8-1988,10,0.693147181,4.146555852
5-5-8-1988,10,1.098612289,4.82986054
5-5-8-1988,10,1.386294361,2.750790355
5-5-8-1988,10,1.609437912,3.807268972
5-5-8-1988,10,1.791759469,4.238016243
5-7-3-1988,10,-0.693147181,4.978842552
5-7-3-1988,10,0,4.243400859
5-7-3-1988,10,0.693147181,4.139402373
5-7-3-1988,10,1.098612289,3.294294937
5-7-3-1988,10,1.386294361,2.81049848
5-7-3-1988,10,1.609437912,2.911382805
5-7-3-1988,10,1.791759469,3.007715191
5-7-3-1988,10,2.079441542,2.596187108
5-7-3-1988,10,2.302585093,2.305750079
5-5-8-1989,10,0.693147181,2.14416364
5-5-8-1989,10,0.693147181,2.899463635
5-5-8-1989,10,2.302585093,1.618457117
5-5-8-1989,10,3.63758616,0.893758783
5-5-13-1989,10,-0.693147181,5.158100246
5-5-13-1989,10,0,4.72466642
5-5-13-1989,10,0.693147181,3.765984003
5-5-13-1989,10,1.098612289,3.112087624
5-5-13-1989,10,1.386294361,3.531447564
5-5-13-1989,10,1.609437912,3.30116708
5-5-13-1989,10,1.791759469,2.206998875
5-5-13-1989,10,2.079441542,2.656335765
5-5-13-1989,10,2.302585093,2.529656919
5-5-20-1989,10,0.693147181,2.590414655
5-5-20-1989,10,2.302585093,1.757168024
5-5-20-1989,10,3.63758616,0.817839625
5-6-1-1989,10,0.693147181,2.663101648
5-6-1-1989,10,2.302585093,2.265340027
5-6-1-1989,10,3.63758616,0.827022264
5-6-13-1989,10,0.693147181,2.734815461
5-6-13-1989,10,2.302585093,2.518792646
5-6-13-1989,10,3.63758616,1.658285218
5-6-25-1989,10,0.693147181,2.480304409
5-6-25-1989,10,2.302585093,2.174547155
5-6-25-1989,10,3.63758616,1.89541353
5-7-7-1989,10,0.693147181,2.617198733
5-7-7-1989,10,2.302585093,1.953963349
5-7-7-1989,10,3.63758616,1.297217216
5-7-19-1989,10,0.693147181,3.071419355
5-7-19-1989,10,2.302585093,2.14221679
5-7-19-1989,10,3.63758616,1.23436621
5-7-31-1989,10,0.693147181,2.869329696
5-7-31-1989,10,2.302585093,2.368541359
5-7-31-1989,10,3.63758616,1.647985322
5-8-12-1989,10,0.693147181,2.114639752
5-8-12-1989,10,2.302585093,1.007738918
5-8-12-1989,10,3.63758616,1.224892455
5-8-24-1989,10,0.693147181,1.906976252
5-8-24-1989,10,2.302585093,1.281405956
5-8-24-1989,10,3.63758616,0.924457295
5-9-5-1989,10,0.693147181,2.092184998
5-9-5-1989,10,2.302585093,1.859745167
5-9-5-1989,10,3.63758616,0.485692414
5-9-17-1989,10,0.693147181,1.752758732
5-9-17-1989,10,2.302585093,0.057230633
5-9-17-1989,10,3.63758616,0.800385931
5-10-16-1989,10,0.693147181,1.10701026
5-10-16-1989,10,2.302585093,0.385058298
5-10-16-1989,10,3.63758616,-0.052768066
5-11-1-1989,10,0.693147181,1.514995356
5-11-1-1989,10,2.302585093,0.878796527
5-11-1-1989,10,3.63758616,-0.195163665
5-11-18-1989,10,0.693147181,2.031353631
5-11-18-1989,10,2.302585093,1.085155484
5-11-18-1989,10,3.63758616,-0.069778895
5-12-4-1989,10,0.693147181,1.939216367
5-12-4-1989,10,2.302585093,0.83681453
5-12-4-1989,10,3.63758616,-0.042385716
5-12-21-1989,10,0.693147181,2.174785812
5-12-21-1989,10,2.302585093,0.86141207
5-12-21-1989,10,3.63758616,0.250680894
5-1-6-1990,10,0.693147181,1.743304249
5-1-6-1990,10,2.302585093,0.430352824
5-1-6-1990,10,3.63758616,0.465932855
5-1-23-1990,10,0.693147181,0.987717971
5-1-23-1990,10,2.302585093,-0.528650209
5-1-23-1990,10,3.63758616,0.265819826
5-2-8-1990,10,0.693147181,1.64186638
5-2-8-1990,10,2.302585093,-0.795622972
5-2-8-1990,10,3.63758616,0.001798382
5-2-25-1990,10,0.693147181,1.812950022
5-2-25-1990,10,2.302585093,-0.230042293
5-2-25-1990,10,3.63758616,0.11064652
5-3-13-1990,10,0.693147181,1.622176432
5-3-13-1990,10,2.302585093,-0.010353412
5-3-13-1990,10,3.63758616,-0.260715624
5-3-30-1990,10,0.693147181,1.930782008
5-3-30-1990,10,2.302585093,0.41005456
5-3-30-1990,10,3.63758616,-0.39734814
5-4-15-1990,10,0.693147181,3.198860855
5-4-15-1990,10,2.302585093,1.77303526
5-4-15-1990,10,3.63758616,0.014593002
5-5-15-1990,10,-0.693147181,4.688859468
5-5-15-1990,10,0,4.313824076
5-5-15-1990,10,0.693147181,3.743007726
5-5-15-1990,10,1.098612289,3.616400155
5-5-15-1990,10,1.386294361,3.614559921
5-5-15-1990,10,1.609437912,3.314113275
5-5-15-1990,10,1.791759469,2.812115879
5-5-15-1990,10,2.079441542,3.078873254
5-5-15-1990,10,2.302585093,2.958440499
5-5-21-1990,10,0.693147181,4.141972146
5-5-21-1990,10,2.302585093,2.387734738
5-5-21-1990,10,3.63758616,1.744196052
5-6-4-1990,10,0.693147181,2.749025784
5-6-4-1990,10,2.302585093,2.379638722
5-6-4-1990,10,3.63758616,2.02797718
5-6-19-1990,10,0.693147181,3.170626315
5-6-19-1990,10,2.302585093,1.583340313
